title,tags
A GUI for controlling and supervising multiple robots remotely,"['gui platform', 'efficient']"
An Efficient System For Waste Collection,"['efficient', 'urban']"
An automated system for monitoring and controlling the water supply to a large farmland,"['automatically', 'electrical', 'automated']"
Automated Book Management System Automated Book Carrying Robot,"['carrying robot', 'embedded system','ir sensors', 'dc motors', 'power']"
Automated Vehicle Parking System,"['time', 'sensor', 'automated','parking management','sensor technology']"
Automated Water Quality Monitoring System,"['easy monitoring','automated', 'time', 'iot']"
E Checkup,"['easy monitoring','online', 'medical','biometric parameters', 'time', 'efficient', 'data']"
Hydroponics Automation System,"['artificial', 'agriculture','artificial lighting']"
Smart Educational Management System,"['smart', 'data', 'automation','eco-friendly']"
Air Quality Monitoring system,"['smart', 'monitor', 'data', 'urban']"
Automated Attendance system,"['time', 'sensor','embedded system']"
Automated Bike Sharing System,"['time', 'mobile', 'automated','energy consumption']"
Automated Electricity Billing System,"['electronic', 'electrical', 'automated']"
Automated Fishing Bot,"['industry', 'monitor']"
Automated Greenhouse Fertilizing System,"['real time', 'automated']"
River water level and speed monitoring and alert system,"['monitor', 'prediction', 'better prediction']"
Smart Waste Disposal Monitoring System,"['smart', 'power', 'iot', 'efficient', 'time', 'real', 'data']"
Smart Cradle,"['automated', 'mobile', 'mobile application']"
Smart Pour,"['automated', 'mobile', mobile application]"
remote medical diagnostics,"['online', 'medical','online platform']"
remote proctoring system,"['smart', 'remotely', 'controlled remotely']"
smart door lock,"['smart', 'sensor', 'data', 'database', 'ir', 'advanced security system', 'face recognition']"
smart meeting automaton,"['smart', 'automatically', 'data', 'mobile', 'remote controllers', ' mobile application']"
smart pharmaceutical warehousing,"['automated', 'online', 'security system']"
smart shopping cart with automatic bill system,"['smart', 'mobile', 'mobile app', 'web app']"
waiterbot system,"['smart', 'mobile', 'mobile application', 'web application']"
water quality monitoring and usage monitoring system,"['monitor', 'mobile', 'mobile application']"
Optimizing Mitochondria Genome Assembly And Annotation With Skim Sequencing Data,"['efficient', 'data', 'mitochondria genome']"
Real Time Data processing and AI for Distributed IoT,"['real', 'time', 'processing', 'base']"
Real Time Emotion Recognition using Electrocardiogram Analysis,"['industry', 'real', 'time']"
Revealing miRNA Biomarkers for Alzheimer s Disease using NGS,"['database', 'data', 'python']"
cricket analysis,"['data', 'prediction', 'data mining']"
sports action recognition,"['computer', 'automated', 'skeleton-based']"
Analysis Tool for Industrial Images,"['image', 'processing']"
Greenhouse monitoring and controlling based on IOT sensor data,"['time', 'automation', 'monitor', 'automatically', 'automated', 'sensor', 'data', 'database']"
Host Pathogen Interaction,"['data', 'gui', 'microbiome', 'programming']"
RV32IM pipeline implementation group1,"['pipeline', 'cpu', 'behavioral modeling']"
RV32IM pipeline implementation group3,"['cpu', 'memory', 'cache memory']"
business to business database,"['relational', 'database', 'online']"
